# Simulation Configuration
NumContainers,20
NumResources,5
SimulationTime,60
MaxConcurrentAccess,3
SynchronizationEnabled,true
NetworkLatencyMean,15
ProcessingTimeMean,50

# Summary Metrics
TotalRequests,4219
SuccessfulRequests,4219
Conflicts,0
Timeouts,0
TotalDuration,61
ThroughputPerSecond,69.16393
AvgAcquireTimeMs,16.008532827684284
AvgProcessingTimeMs,49.20786916330884
AvgTotalTimeMs,81.03342024176345

# Access Logs
ContainerId,ResourceId,AcquireTimeMs,ProcessingTimeMs,TotalTimeMs
4,resource_0,17,71,109
17,resource_1,15,48,74
8,resource_1,13,54,89
7,resource_2,17,40,77
13,resource_0,25,62,103
5,resource_4,11,66,87
18,resource_4,11,23,51
16,resource_1,18,49,82
12,resource_0,18,63,95
6,resource_1,60,31,111
15,resource_1,36,64,118
3,resource_2,17,51,85
9,resource_1,47,60,120
0,resource_2,10,82,117
19,resource_1,7,56,80
1,resource_3,3,69,87
11,resource_2,14,38,71
2,resource_4,21,82,129
8,resource_3,13,57,77
14,resource_0,15,7,44
4,resource_3,15,60,83
17,resource_3,27,51,93
13,resource_0,20,43,75
16,resource_3,18,59,88
12,resource_4,18,41,77
0,resource_2,24,44,74
6,resource_0,15,44,78
18,resource_2,15,79,104
3,resource_2,16,63,96
5,resource_1,11,73,104
15,resource_0,19,88,119
10,resource_0,51,42,112
2,resource_0,45,32,103
12,resource_4,13,45,71
4,resource_0,62,32,109
7,resource_0,110,48,163
9,resource_1,28,64,102
11,resource_3,19,53,86
19,resource_0,25,35,76
17,resource_3,12,59,80
6,resource_3,5,34,49
16,resource_4,9,41,63
1,resource_4,11,38,63
10,resource_4,10,66,90
14,resource_3,12,69,102
5,resource_0,22,34,66
2,resource_0,17,58,91
12,resource_3,19,69,109
4,resource_4,19,14,49
13,resource_3,13,68,93
8,resource_3,15,39,69
0,resource_2,15,62,86
15,resource_4,22,46,84
7,resource_1,16,50,81
19,resource_3,69,42,131
18,resource_4,13,47,71
3,resource_2,20,55,85
9,resource_4,21,52,93
16,resource_1,13,29,55
8,resource_4,14,33,58
12,resource_0,6,68,98
6,resource_1,14,42,72
11,resource_2,22,57,83
17,resource_1,11,35,61
5,resource_0,14,20,52
10,resource_0,13,48,85
1,resource_0,15,58,87
7,resource_4,24,44,87
18,resource_1,16,48,85
0,resource_2,14,21,54
14,resource_3,11,34,54
13,resource_2,20,52,94
15,resource_3,15,15,47
2,resource_0,11,54,75
16,resource_2,13,70,92
4,resource_4,11,3,43
9,resource_4,19,39,73
1,resource_3,14,55,83
11,resource_0,14,13,40
8,resource_3,7,59,81
3,resource_3,16,38,64
6,resource_0,9,59,87
10,resource_3,23,67,102
13,resource_2,15,54,93
12,resource_2,9,65,99
19,resource_3,11,40,62
0,resource_3,21,1,33
6,resource_3,8,65,99
7,resource_3,15,58,88
4,resource_0,7,42,67
5,resource_4,11,64,93
17,resource_2,25,47,82
9,resource_0,12,84,115
12,resource_4,19,78,116
18,resource_3,20,70,107
4,resource_4,10,32,60
16,resource_1,14,49,78
14,resource_2,19,68,101
1,resource_2,12,49,79
15,resource_4,18,30,56
13,resource_0,21,45,80
3,resource_2,22,57,95
12,resource_1,20,21,50
9,resource_1,15,57,91
8,resource_0,23,48,78
2,resource_2,16,45,69
18,resource_3,13,80,109
19,resource_4,20,44,81
4,resource_3,7,17,37
5,resource_2,8,41,62
11,resource_1,21,66,102
15,resource_2,18,44,78
3,resource_4,27,52,99
0,resource_0,18,54,92
1,resource_4,20,52,88
19,resource_4,19,47,82
14,resource_3,15,57,86
13,resource_2,11,54,80
10,resource_0,15,46,74
16,resource_3,8,56,85
9,resource_4,32,79,120
7,resource_2,4,70,81
6,resource_3,11,58,86
15,resource_2,5,50,70
17,resource_4,13,59,90
11,resource_1,23,67,112
4,resource_0,16,42,78
12,resource_2,6,58,80
17,resource_0,15,29,64
2,resource_1,12,62,97
19,resource_3,19,52,90
16,resource_2,10,78,115
1,resource_3,16,55,90
5,resource_1,12,65,87
8,resource_4,10,26,52
14,resource_2,22,93,128
17,resource_2,15,20,44
3,resource_1,17,75,110
7,resource_0,11,58,94
5,resource_4,10,35,58
9,resource_2,21,60,105
15,resource_0,23,56,97
14,resource_3,12,48,74
13,resource_4,23,88,131
18,resource_2,17,46,75
11,resource_2,19,29,56
1,resource_3,23,79,120
4,resource_1,14,48,77
2,resource_0,16,33,72
9,resource_4,10,72,101
8,resource_1,14,63,93
12,resource_4,16,53,83
13,resource_1,15,33,63
10,resource_0,10,71,90
17,resource_2,22,65,96
11,resource_3,19,32,78
3,resource_1,23,50,88
6,resource_3,9,70,91
5,resource_0,18,53,81
7,resource_1,12,78,105
0,resource_3,9,82,107
14,resource_1,6,43,69
18,resource_3,52,34,95
15,resource_3,49,63,128
19,resource_0,12,44,69
7,resource_3,17,55,90
4,resource_1,16,29,52
1,resource_1,18,52,88
16,resource_0,13,31,67
9,resource_0,21,60,99
13,resource_2,20,76,110
3,resource_1,13,39,69
2,resource_3,19,52,93
11,resource_3,9,20,41
19,resource_4,16,73,111
5,resource_1,9,42,68
6,resource_1,11,63,83
1,resource_1,2,12,29
10,resource_2,19,43,76
18,resource_4,9,47,74
17,resource_4,13,14,42
3,resource_4,22,60,93
0,resource_2,17,22,61
2,resource_3,9,78,106
9,resource_0,9,47,78
4,resource_0,14,32,64
8,resource_2,10,36,72
7,resource_0,5,39,66
12,resource_1,18,63,99
14,resource_2,19,65,97
5,resource_1,17,34,74
6,resource_4,11,29,61
15,resource_1,11,56,76
10,resource_0,16,58,84
13,resource_1,12,56,82
18,resource_0,9,52,70
16,resource_4,10,32,60
0,resource_0,6,61,80
12,resource_2,16,59,80
19,resource_0,43,32,88
17,resource_0,19,47,87
6,resource_3,12,38,60
11,resource_0,30,31,77
15,resource_3,15,41,62
5,resource_0,25,40,77
2,resource_4,18,36,65
0,resource_2,20,35,70
3,resource_0,7,42,67
9,resource_1,18,32,69
5,resource_4,14,41,67
7,resource_0,11,32,58
1,resource_0,12,64,89
16,resource_2,20,43,70
15,resource_3,18,95,137
17,resource_2,18,23,73
14,resource_4,20,55,114
4,resource_0,17,27,89
18,resource_3,5,49,169
13,resource_2,18,82,205
19,resource_1,53,50,124
6,resource_2,53,57,129
1,resource_0,21,24,49
2,resource_0,16,32,60
12,resource_4,39,33,97
9,resource_1,4,47,63
0,resource_2,39,49,108
8,resource_1,15,61,90
10,resource_2,11,58,91
17,resource_3,20,14,54
4,resource_0,21,31,74
3,resource_2,36,45,104
15,resource_0,11,72,101
11,resource_3,24,58,106
7,resource_4,15,80,109
16,resource_3,9,44,70
5,resource_0,8,47,66
14,resource_2,41,54,119
0,resource_4,11,40,66
18,resource_0,20,74,120
2,resource_1,4,36,54
19,resource_1,18,73,117
12,resource_4,16,63,101
9,resource_1,13,64,102
15,resource_4,14,51,87
5,resource_4,20,52,81
14,resource_2,14,42,64
1,resource_3,33,83,137
0,resource_4,50,30,98
11,resource_3,7,45,68
6,resource_3,29,19,72
7,resource_2,10,52,86
4,resource_2,9,42,81
17,resource_0,12,59,105
3,resource_3,17,83,117
8,resource_0,21,76,117
5,resource_4,16,5,42
9,resource_4,60,27,107
16,resource_0,15,16,50
18,resource_0,21,61,103
19,resource_4,8,36,65
3,resource_4,13,21,38
13,resource_4,18,33,64
1,resource_2,17,22,59
12,resource_0,7,27,50
14,resource_4,40,50,106
10,resource_1,17,65,99
16,resource_1,16,54,79
19,resource_4,18,29,64
8,resource_3,20,36,72
6,resource_2,24,36,78
7,resource_2,14,68,95
17,resource_2,21,53,92
2,resource_0,25,29,80
5,resource_0,15,67,95
12,resource_4,14,45,72
14,resource_3,14,57,86
0,resource_4,15,40,67
3,resource_3,14,54,85
9,resource_3,12,34,67
11,resource_2,28,47,99
19,resource_0,19,42,79
13,resource_1,16,29,75
16,resource_4,24,42,78
15,resource_0,20,54,92
8,resource_4,7,20,48
18,resource_1,22,72,107
4,resource_0,16,42,83
1,resource_3,9,58,87
6,resource_3,19,40,72
12,resource_0,11,74,112
10,resource_1,16,47,72
2,resource_1,26,60,103
4,resource_2,16,64,99
17,resource_3,11,11,35
19,resource_3,7,62,83
7,resource_1,1,38,65
16,resource_4,15,75,108
13,resource_0,22,57,93
15,resource_1,13,34,68
0,resource_4,14,54,88
9,resource_3,17,34,63
14,resource_1,11,37,63
18,resource_4,18,34,70
8,resource_0,10,51,76
3,resource_3,22,24,62
6,resource_1,17,59,89
1,resource_4,10,77,100
11,resource_4,16,82,118
18,resource_2,20,22,48
5,resource_0,25,73,116
7,resource_4,14,73,101
12,resource_3,18,97,129
6,resource_3,17,18,52
16,resource_0,13,55,81
19,resource_3,23,65,102
2,resource_1,23,34,73
10,resource_4,13,25,58
17,resource_1,14,63,99
14,resource_0,16,78,112
2,resource_4,5,32,51
12,resource_2,20,30,70
8,resource_3,14,36,60
9,resource_1,24,19,58
6,resource_3,18,33,65
18,resource_2,19,48,86
3,resource_0,17,82,112
4,resource_0,16,80,110
13,resource_0,11,88,125
0,resource_1,13,45,75
15,resource_2,22,47,88
5,resource_3,21,38,79
18,resource_2,14,59,94
17,resource_0,15,82,104
16,resource_3,19,38,72
7,resource_2,13,63,87
10,resource_2,13,16,32
1,resource_0,9,47,74
11,resource_1,16,72,104
13,resource_4,8,21,51
12,resource_3,11,55,81
14,resource_2,15,45,72
19,resource_0,11,40,67
2,resource_4,22,77,109
0,resource_2,19,56,89
4,resource_3,16,37,65
8,resource_1,4,38,63
6,resource_3,17,61,98
15,resource_3,12,13,40
13,resource_4,11,29,58
9,resource_3,13,37,63
8,resource_0,10,37,68
11,resource_2,20,42,79
18,resource_3,14,58,97
10,resource_4,19,25,55
2,resource_4,15,69,101
4,resource_4,19,33,68
14,resource_3,19,72,102
12,resource_1,12,64,94
6,resource_0,21,52,89
5,resource_4,16,35,73
15,resource_2,13,24,55
7,resource_4,22,59,93
3,resource_3,9,87,111
1,resource_3,19,68,104
16,resource_3,20,58,86
17,resource_4,17,43,71
19,resource_1,19,65,103
13,resource_2,14,97,131
9,resource_1,11,51,80
8,resource_4,20,37,70
16,resource_4,23,23,58
11,resource_4,13,36,67
12,resource_3,11,57,86
2,resource_3,23,70,110
15,resource_2,15,43,83
18,resource_4,37,32,82
14,resource_4,46,44,104
0,resource_0,14,91,119
19,resource_1,13,34,68
7,resource_1,5,42,60
4,resource_4,33,73,129
1,resource_2,20,74,111
6,resource_3,15,61,91
10,resource_4,14,70,107
11,resource_3,13,52,81
12,resource_0,14,63,91
2,resource_1,17,14,41
5,resource_2,21,65,102
18,resource_1,13,48,76
8,resource_0,10,28,57
13,resource_0,8,64,99
17,resource_1,18,66,102
3,resource_2,16,58,87
9,resource_1,25,66,112
4,resource_0,22,58,102
